SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey
43.577,-90.792,43.57,-90.78,2017,43.577:-90.792,43.570:-90.780
46.078,-89.489,46.09,-89.5,2017,46.078:-89.489,46.090:-89.500
42.667,-88.542,42.65,-88.54,2017,42.667:-88.542,42.650:-88.540
45.898,-91.795,45.89,-91.78,2017,45.898:-91.795,45.890:-91.780
43.368,-88.23,43.37,-88.22,2017,43.368:-88.230,43.370:-88.220
44.462,-88.915,44.45,-88.9,2017,44.462:-88.915,44.450:-88.900
44.114,-89.242,44.13,-89.26,2017,44.114:-89.242,44.130:-89.260
44.068,-88.645,44.05,-88.66,2017,44.068:-88.645,44.050:-88.660
44.466,-90.021,44.45,-90.02,2017,44.466:-90.021,44.450:-90.020
44.11,-87.956,44.09,-87.94,2017,44.110:-87.956,44.090:-87.940
42.668,-88.033,42.65,-88.02,2017,42.668:-88.033,42.650:-88.020
43.019,-88.184,43.01,-88.18,2017,43.019:-88.184,43.010:-88.180
39.125,-80.018,39.13,-80.02,2017,39.125:-80.018,39.130:-80.020
39.443,-78.026,39.45,-78.02,2017,39.443:-78.026,39.450:-78.020
37.997,-81.717,38.01,-81.7,2017,37.997:-81.717,38.010:-81.700
38.706,-80.737,38.69,-80.74,2017,38.706:-80.737,38.690:-80.740
38.413,-82.277,38.41,-82.26,2017,38.413:-82.277,38.410:-82.260
38.466,-81.051,38.45,-81.06,2017,38.466:-81.051,38.450:-81.060
39.271,-80.72,39.29,-80.74,2017,39.271:-80.720,39.290:-80.740
38.914,-80.831,38.93,-80.82,2017,38.914:-80.831,38.930:-80.820
37.976,-80.427,37.97,-80.42,2017,37.976:-80.427,37.970:-80.420
39.316,-77.877,39.33,-77.86,2017,39.316:-77.877,39.330:-77.860
38.297,-81.555,38.29,-81.54,2017,38.297:-81.555,38.290:-81.540
38.946,-80.515,38.93,-80.5,2017,38.946:-80.515,38.930:-80.500
38.161,-82.054,38.17,-82.06,2017,38.161:-82.054,38.170:-82.060
37.375,-81.654,37.37,-81.66,2017,37.375:-81.654,37.370:-81.660
39.877,-80.695,39.89,-80.7,2017,39.877:-80.695,39.890:-80.700
