195,224080-99999	-120.13120899718838,-143.45533980582525,29.74261992619926,0.0,0.0,-110.14480587618048,-134.6088840736728,30.275436793422404,0.0,0.0,-70.32023575638507,-106.82299084435402,37.623439000960616,0.0,0.0,-4.732642487046632,-51.28632938643703,32.22548028311426,0.0,0.0,50.552104208416836,-12.274871794871794,34.93621197252208,0.0,0.0,124.15520833333333,54.09967845659164,34.35918367346939,0.0,0.0,153.0595238095238,93.3392658509455,34.362672322375396,0.0,0.0,140.54618473895582,94.76175869120654,29.645731108930324,0.0,0.0,72.76476793248945,40.71259418729817,33.31230610134436,0.0,0.0,18.74032105760151,-5.434362934362935,33.31797235023041,0.0,0.0,-40.13376383763838,-59.912921348314605,35.82315405651777,0.0,0.0,-92.79508196721312,-114.93171188026193,30.371530886302597,0.0,0.0
195,225180-99999	-106.9795918367347,-120.15306122448979,37.66326530612245,0.0,0.9183673469387755,None,None,None,None,None,None,None,None,None,None,-15.82089552238806,-61.52238805970149,30.83582089552239,0.0,0.0,None,None,None,None,None,61.0,-111.0,51.0,0.0,0.0,147.63829787234042,95.36170212765957,29.085106382978722,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-161.0,-194.5,36.0,0.0,0.0
195,225290-99999	-90.6304347826087,-112.98913043478261,47.25,0.0,2.282608695652174,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,145.77551020408163,97.38775510204081,29.857142857142858,0.0,0.0,72.0,39.0,41.0,0.0,0.0,5.313432835820896,-18.53731343283582,43.8955223880597,0.0,0.29850746268656714,None,None,None,None,None,None,None,None,None,None
195,227270-99999	-85.65591397849462,-105.53763440860214,37.55913978494624,0.0,33.11827956989247,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,163.2,107.9,22.375,0.0,0.0,None,None,None,None,None,22.0,0.0,0.0,0.0,0.0,None,None,None,None,None,-110.2741935483871,-133.79032258064515,31.903225806451612,0.0,0.0
195,227380-99999	-92.61467889908256,-102.79816513761467,38.06422018348624,0.0,9.724770642201834,None,None,None,None,None,-23.56338028169014,-59.28169014084507,45.80281690140845,0.0,0.0,-7.412698412698413,-58.36507936507937,30.873015873015873,0.0,11.904761904761905,None,None,None,None,None,143.44642857142858,78.375,39.017857142857146,0.0,18.928571428571427,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,82.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None
195,227490-99999	-87.57142857142857,-110.625,40.089285714285715,0.0,0.8928571428571429,-66.46666666666667,-85.23333333333333,41.46666666666667,0.0,0.0,-18.22222222222222,-64.93333333333334,44.08888888888889,0.0,0.0,-16.653846153846153,-66.2,27.76923076923077,0.0,0.0,32.588235294117645,-10.176470588235293,17.666666666666668,0.0,0.0,121.14285714285714,82.76190476190476,28.095238095238095,0.0,5.714285714285714,136.66666666666666,117.33333333333333,17.4,0.0,0.0,150.0,128.0,31.0,0.0,750.0,None,None,None,None,None,None,None,None,None,None,-9.333333333333334,-26.0,58.0,0.0,0.0,-168.0,-191.75,31.0,0.0,0.0
195,228260-99999	-75.79591836734694,-90.57142857142857,63.89795918367347,0.0,2.6530612244897958,-72.6470588235294,-83.95588235294117,65.42647058823529,0.0,0.29411764705882354,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-99.14814814814815,-118.24074074074075,76.57407407407408,0.0,0.0
195,228370-99999	-103.05393835616438,-118.9402460456942,40.69049621530698,0.0,1.614802354920101,-100.22485768500948,-120.74488802336903,42.649155722326455,0.0,0.8911819887429644,-64.17302573203195,-98.46636363636364,38.11538461538461,0.0,1.2820512820512822,24.222627737226276,-21.732407407407408,34.8915770609319,0.0,0.10752688172043011,73.99807877041306,17.38894373149062,37.568480300187616,0.0,1.6885553470919326,141.25803212851406,84.00930713547052,32.46267190569745,0.0,0.009823182711198428,167.51441753171858,117.075,33.51627384960718,0.0,0.31425364758698093,151.47362869198312,113.05952380952381,29.572745901639344,0.0,7.090163934426229,90.96632996632997,65.88404133180252,36.59432933478735,0.0,7.862595419847328,29.87231968810916,10.73134328358209,38.81895734597156,0.0,8.834123222748815,-33.99074930619796,-50.3060263653484,42.87386569872958,0.0,3.793103448275862,-80.52504317789293,-95.31672597864768,41.02276559865093,0.0,7.428330522765599
195,229250-99999	-63.10294117647059,-81.16911764705883,36.86029411764706,0.0,9.558823529411764,None,None,None,None,None,-15.90566037735849,-63.14150943396226,38.822429906542055,0.0,0.0,18.485436893203882,-34.679611650485434,26.37864077669903,0.0,23.009708737864077,75.98076923076923,-2.25,29.01923076923077,0.0,0.0,146.33333333333334,59.333333333333336,53.333333333333336,0.0,0.0,167.1904761904762,113.35238095238095,25.0,0.0,0.0,152.86666666666667,101.54666666666667,27.013333333333332,0.0,10.0,77.32727272727273,52.03636363636364,31.78181818181818,0.0,0.7272727272727273,4.584269662921348,-19.0561797752809,34.146067415730336,0.0,8.98876404494382,-22.285714285714285,-51.142857142857146,38.07142857142857,0.0,0.0,-106.45333333333333,-123.78666666666666,24.32,0.0,10.0
195,235190-99999	-140.4,-166.97142857142856,40.17142857142857,0.0,4.714285714285714,-198.13333333333333,-231.11111111111111,36.08695652173913,0.0,0.0,-91.5813953488372,-125.65116279069767,49.325581395348834,0.0,0.0,-126.44117647058823,-166.6764705882353,25.91176470588235,0.0,0.0,9.28,-26.44,31.44,0.0,0.0,74.25,35.93333333333333,21.9375,0.0,0.0,103.92307692307692,80.6923076923077,20.692307692307693,0.0,0.0,103.25,89.41666666666667,19.666666666666668,0.0,0.0,50.0,50.0,31.0,0.0,0.0,-100.0,-111.0,21.0,0.0,0.0,None,None,None,None,None,-123.05,-166.7,49.05,0.0,0.0
