lkey,areasymbol,areaname,mlraoffice,areaacres,longitude,latitude,ph1to1h2o,cec7,awc,om,claytotal,silttotal,sandtotal,slope,tfact,elev,cos_sim,cos_sim_normed
10620,KS193,"Thomas County, Kansas","Denver, CO",687757,-101.05578609999999,-30.79343796,7.942379493,15.66435945,0.202188023,0.8003173570000001,21.46077004,62.37920144,16.16002851,2.0993716730000003,4.99894646,988.3840816,0.9931753869559853,-0.42113180783844895
12707,GA107,"Emanuel County, Georgia","Auburn, AL",441300,-82.32463837,-24.85481071,5.2562024880000005,5.05267798,0.110016025,0.557594891,20.914551899999996,11.85231399,67.23313343,3.23178113,4.750620221,70.8536955,0.7715686164267469,-0.42118782171017033
16039,VA081,"Greensville County, Virginia","Raleigh, NC",194400,-77.53201294,-20.376091,4.867765486000001,8.728774272999999,0.12943253400000002,0.5020958999999999,31.79457082,27.37316757,40.83226179,3.579966317,4.68044197,76.3441535,0.8641871702178165,-0.4219022894267963
13905,WI141,"Wood County, Wisconsin","St. Paul, MN",517613,-90.02127075,-22.73843384,5.250275982,13.64755147,0.139909463,4.726122665,12.08869691,26.31907575,60.35835949,1.759599492,3.906754284,325.343327,0.9906754624306212,-0.4221282948036149
16468,MD011,"Caroline County, Maryland","Raleigh, NC",207600,-75.86125183,-18.53608322,5.178441159,6.418636096,0.127043375,1.285053926,11.7512064,19.22420598,67.84445863,1.712108404,4.257421653,9.837464285,0.24544279943432712,-0.4223868927543195
15075,TX616,"Marion and Cass Counties, Texas","Temple, TX",884327,-94.376297,-30.67777061,4.929376911,6.986805928,0.136819465,0.533511964,26.57190913,21.33609141,52.11103229,4.530225881000001,4.44213726,121.00677560000001,0.9356501831755909,-0.42240301357275456
12852,MS129,"Smith County, Mississippi","Auburn, AL",406600,-89.52382659999999,-28.76789856,4.908058327,7.371603109,0.141841818,0.37225287,23.39162682,26.06752281,50.54085039,8.473147874,4.777900398,114.79686840000001,0.932581110876465,-0.42247599831089966
13295,TX219,"Hockley County, Texas","Temple, TX",581556,-102.3456116,-34.34376526,8.018551059,15.65990094,0.127939647,0.522136861,27.52237399,19.57964139,52.68546789,1.125840523,4.187625294,1106.784979,0.9920031196859496,-0.4229964938240609
17490,FL059,"Holmes County, Florida","Auburn, AL",313400,-85.76686859,-27.39646149,5.1051934889999995,2.511032626,0.106521017,0.42083290000000007,19.7074548,8.64254243,71.65000262,3.1977746139999996,4.982928743,68.38615346,0.7409070942879576,-0.42381903663329945
10820,FL089,"Nassau County, Florida","Raleigh, NC",428800,-81.7359314,-25.57403946,5.566063356,22.18846506,0.13125843,5.036724311,15.8051087,8.231620162999999,69.46368749,1.299432179,4.390682084,36.54170499,0.5265069767519914,-0.4238542138554662
10536,KS009,"Barton County, Kansas","Denver, CO",576537,-98.75657654,-30.10944366,7.523160247000001,19.47110944,0.175496889,0.807474767,25.91473931,52.30909017,21.77617053,2.289090849,4.545324804,634.9557972,0.9955665705235042,-0.4238862485059407
11505,IN171,"Warren County, Indiana","Indianapolis, IN",234413,-87.31171417,-23.48230171,6.83482445,16.21210283,0.146693596,1.509096002,24.78898833,45.97019408,28.89366971,3.9016551280000002,4.209786057,204.1637534,0.9862731626135315,-0.4246331426391263
13397,TX487,"Wilbarger County, Texas","Temple, TX",612928,-99.21371459999999,-32.55954742,7.8697264670000004,19.95508345,0.128868072,0.606073914,31.70559016,29.54895625,38.6508755,4.37320271,4.652191459,484.9646494,0.9966459252286697,-0.4250888480738899
12725,GA638,"Glascock and Jefferson Counties, Georgia","Auburn, AL",432300,-82.49420929,-24.73560333,5.204010252,3.017443423,0.11664990800000001,0.40624941600000003,23.42846121,11.18925541,65.38228267,4.354543523999999,4.891994894,78.39725909,0.8073878456182035,-0.4270779474394486
11466,IN085,"Kosciusko County, Indiana","Indianapolis, IN",354854,-85.86436462,-22.30465126,6.926361996,19.15821721,0.135036197,4.930136925,15.35605266,25.76114811,56.14249253,2.8338717819999997,3.957639757,268.0913185,0.9884191742703876,-0.42713747346730924
15123,AR093,"Mississippi County, Arkansas","Auburn, AL",591924,-89.96554565,-27.12157249,6.623877632,24.03434355,0.142704625,0.633368551,38.34217454,35.86049558,25.79732948,0.503639344,4.843502494,60.0697581,0.7788293349788397,-0.4273807871750541
13086,KS025,"Clark County, Kansas","Temple, TX",624928,-99.8243103,-31.27064705,7.841054582000001,13.61339451,0.14389061,0.614520576,21.18220144,36.83603056,41.98176797,5.578204348,4.151084806,626.5384592,0.9958331129261432,-0.4275672493334455
18320,FL045,"Gulf County, Florida","Auburn, AL",366000,-85.2179184,-27.68133163,5.146044628,19.99954336,0.12058653800000001,5.231497828999999,16.21238635,9.928969875,73.85864372,1.109498643,4.568564961,49.29621315,0.6122265168941541,-0.42803469444803843
10677,NE001,"Adams County, Nebraska","Denver, CO",361126,-98.50113678,-28.96380615,7.214128505,18.65656021,0.190100086,0.795285712,24.12395501,57.03856446,18.83728984,3.148630352,4.812970517,618.0662788,0.9955541309821526,-0.4283770858351723
13280,TX189,"Hale County, Texas","Temple, TX",643456,-101.8272858,-33.8695755,8.045390764,23.04075358,0.155642753,0.8446905690000001,37.93452336,34.88541337,27.16104015,0.784085035,4.8241635480000005,1156.13692,0.9923515344091165,-0.428991553507164
13990,NE141,"Platte County, Nebraska","St. Paul, MN",441049,-97.54191589,-27.95969963,7.481735104,17.90091365,0.185377378,0.936248095,23.38051732,54.62339376,22.00394978,4.767626163,4.855977534,484.8083766,0.9965891239341323,-0.42905325018489426
