SoilLat,SoilLon,SolarLat,SolarLon,Year,SoilRegionKey,SolarRegionKey,lkey
40.297,-81.10300000000001,40.29,-81.1,2017,40.297:-81.103,-81.103:40.290,14608
41.327,-84.11200000000001,41.33,-84.1,2017,41.327:-84.112,-84.112:41.330,11547
39.199,-83.60799999999999,39.21,-83.62,2017,39.199:-83.608,-83.608:39.210,18111
39.512,-82.454,39.53,-82.46,2017,39.512:-82.454,-82.454:39.530,17918
40.556,-81.935,40.57,-81.94,2017,40.556:-81.935,-81.935:40.570,12362
41.141000000000005,-82.589,41.13,-82.58,2017,41.141:-82.589,-82.589:41.130,11549
39.025999999999996,-82.616,39.01,-82.62,2017,39.026:-82.616,-82.616:39.010,14610
40.376999999999995,-80.76899999999999,40.37,-80.78,2017,40.377:-80.769,-80.769:40.370,14611
40.406,-82.465,40.41,-82.46,2017,40.406:-82.465,-82.465:40.410,15447
41.711999999999996,-81.245,41.73,-81.26,2017,41.712:-81.245,-81.245:41.730,12363
38.626,-82.552,38.61,-82.54,2017,38.626:-82.552,-82.552:38.610,14612
40.095,-82.48299999999999,40.09,-82.5,2017,40.095:-82.483,-82.483:40.090,11551
40.384,-83.76700000000001,40.37,-83.78,2017,40.384:-83.767,-83.767:40.370,11552
41.29,-82.113,41.29,-82.1,2017,41.290:-82.113,-82.113:41.290,12364
41.574,-83.524,41.57,-83.54,2017,41.574:-83.524,-83.524:41.570,11553
39.903,-83.43,39.89,-83.42,2017,39.903:-83.430,-83.430:39.890,11554
41.016999999999996,-80.803,41.01,-80.82,2017,41.017:-80.803,-80.803:41.010,16997
40.569,-83.139,40.57,-83.14,2017,40.569:-83.139,-83.139:40.570,11555
41.133,-81.929,41.13,-81.94,2017,41.133:-81.929,-81.929:41.130,12366
39.04,-82.03299999999999,39.05,-82.02,2017,39.040:-82.033,-82.033:39.050,14613
40.54,-84.618,40.53,-84.62,2017,40.540:-84.618,-84.618:40.530,11556
40.04,-84.23,40.05,-84.22,2017,40.040:-84.230,-84.230:40.050,11557
39.705,-81.07,39.69,-81.06,2017,39.705:-81.070,-81.070:39.690,14614
39.751,-84.26799999999999,39.77,-84.26,2017,39.751:-84.268,-84.268:39.770,11558
39.61,-81.833,39.61,-81.82,2017,39.610:-81.833,-81.833:39.610,14616
40.529,-82.823,40.53,-82.82,2017,40.529:-82.823,-82.823:40.530,11559
39.961,-81.963,39.97,-81.98,2017,39.961:-81.963,-81.963:39.970,14617
39.769,-81.46600000000001,39.77,-81.46,2017,39.769:-81.466,-81.466:39.770,14618
41.6,-83.06299999999999,41.61,-83.06,2017,41.600:-83.063,-83.063:41.610,11560
41.121,-84.573,41.13,-84.58,2017,41.121:-84.573,-84.573:41.130,12113
39.74,-82.24799999999999,39.73,-82.26,2017,39.740:-82.248,-82.248:39.730,14619
39.64,-82.999,39.65,-82.98,2017,39.640:-82.999,-82.999:39.650,11563
39.073,-83.086,39.09,-83.1,2017,39.073:-83.086,-83.086:39.090,14620
41.168,-81.19800000000001,41.17,-81.18,2017,41.168:-81.198,-81.198:41.170,12367
39.743,-84.647,39.73,-84.66,2017,39.743:-84.647,-84.647:39.730,11565
41.013999999999996,-84.14,41.01,-84.14,2017,41.014:-84.140,-84.140:41.010,11566
40.773,-82.53200000000001,40.77,-82.54,2017,40.773:-82.532,-82.532:40.770,11567
39.342,-83.068,39.33,-83.06,2017,39.342:-83.068,-83.068:39.330,11568
41.376999999999995,-83.13,41.37,-83.14,2017,41.377:-83.130,-83.130:41.370,11570
38.793,-82.96,38.81,-82.94,2017,38.793:-82.960,-82.960:38.810,14621
